Tanggal,Nomor Surat,Perihal,Pengirim,Penerima,Keterangan
18 Agustus 2016,3/kep/2016,Pemberitahuan Libur,Budairi,Kasi Operasional,Pemberitahuan libur sementara untuk monitoring dan maintenance website dinas pendidikan kota Salatiga
18 Agustus 2016,3/kep/2017,Pemberitahuan Libur,Budairi,Kasi Operasional,Pemberitahuan libur sementara untuk monitoring dan maintenance website dinas pendidikan kota Salatiga
19 Agustus 2016,3/kep/2018,Pemberitahuan Libur,Budairi,Kasi Operasional,Pemberitahuan libur sementara untuk monitoring dan maintenance website dinas pendidikan kota Salatiga
20 Agustus 2016,3/kep/2019,Pemberitahuan Libur,Budairi,Kasi Operasional,Pemberitahuan libur sementara untuk monitoring dan maintenance website dinas pendidikan kota Salatiga
21 Agustus 2016,3/kep/2020,Pemberitahuan Libur,Budairi,Kasi Operasional,Pemberitahuan libur sementara untuk monitoring dan maintenance website dinas pendidikan kota Salatiga
22 Agustus 2016,3/kep/2021,Pemberitahuan Libur,Budairi,Kasi Operasional,Pemberitahuan libur sementara untuk monitoring dan maintenance website dinas pendidikan kota Salatiga
23 Agustus 2016,3/kep/2022,Pemberitahuan Libur,Budairi,Kasi Operasional,Pemberitahuan libur sementara untuk monitoring dan maintenance website dinas pendidikan kota Salatiga
24 Agustus 2016,3/kep/2023,Pemberitahuan Libur,Budairi,Kasi Operasional,Pemberitahuan libur sementara untuk monitoring dan maintenance website dinas pendidikan kota Salatiga
25 Agustus 2016,3/kep/2024,Pemberitahuan Libur,Budairi,Kasi Operasional,Pemberitahuan libur sementara untuk monitoring dan maintenance website dinas pendidikan kota Salatiga
26 Agustus 2016,3/kep/2025,Pemberitahuan Libur,Budairi,Kasi Operasional,Pemberitahuan libur sementara untuk monitoring dan maintenance website dinas pendidikan kota Salatiga
